³¯Â¥,S&P 500,DAX
2001.7.24,-0.016337605,-0.020533734
2001.7.25,0.015917701,-0.016029512
2001.7.26,0.010361921,0.01442229
2001.7.27,0.002407939,0.012864635
2001.7.30,-0.001078704,0.007441047
2001.7.31,0.005547061,0.010065519
2001.8.1,0.00387294,-0.004181312
2001.8.2,0.004021838,-0.01176139
2001.8.3,-0.005338602,-0.007221226
2001.8.6,-0.011429642,0.0020557
2001.8.7,0.003243381,0.000895662
2001.8.8,-0.017505368,-0.023615945
2001.8.9,-8.45E-05,-0.014991521
2001.8.10,0.005729709,-0.016350401
2001.8.13,0.000923788,0.002325866
2001.8.14,-0.003868802,0.010005126
2001.8.15,-0.00735826,-0.012029042
2001.8.16,0.003135994,-0.017095002
2001.8.17,-0.016811421,-0.027987772
2001.8.20,0.008056956,-0.002286246
2001.8.21,-0.012109909,0.000174475
2001.8.22,0.006888859,0.003050503
2001.8.23,-0.002749851,0.004024043
2001.8.24,0.01942967,0.022278823
2001.8.27,-0.00482214,0.001634564
2001.8.28,-0.015123969,-0.018195488
2001.8.29,-0.011168464,0.00270299
2001.8.30,-0.017211524,-0.025606876
2001.8.31,0.004066124,0.005440578
2001.9.4,-0.000617692,0.020527607
2001.9.5,-0.00105979,-0.027398118
2001.9.6,-0.022609426,-0.036925395
2001.9.7,-0.018794459,-0.029316581
2001.9.10,0.006151605,-0.011714514
2001.9.17,-0.050402447,0.029441741
2001.9.18,-0.005889469,-0.010163087
2001.9.19,-0.016204962,-0.037436787
2001.9.20,-0.03159315,-0.059934035
2001.9.21,-0.019177125,-0.00468111
2001.9.24,0.038292395,0.06280003
2001.9.25,0.00873108,-0.006511361
2001.9.26,-0.005249356,0.019956962
2001.9.27,0.011453522,0.021535039
2001.9.28,0.011984293,0.026055204
2001.10.1,0.000577923,-0.017555036
2001.10.2,0.01311714,0.015101137
2001.10.3,0.02780058,0.030354695
2001.10.4,-0.002521127,0.023994218
2001.10.5,0.001681458,-0.011042515
2001.10.8,0.001978613,0.005809754
2001.10.9,-0.005755547,-0.003582237
2001.10.10,0.024061452,0.031166596
2001.10.11,0.015057207,0.019418169
2001.10.12,0.003027386,-0.02043355
2001.10.15,0.006073452,-0.015512845
2001.10.16,0.003468423,0.018367231
2001.10.17,-0.027923268,0.002310615
2001.10.18,-0.005412986,-0.011675272
2001.10.19,0.006448319,-0.014767906
2001.10.22,0.015161611,0.022098412
2001.10.23,-0.008353654,0.016013267
2001.10.24,0,0.02584752
2001.10.25,0.02522225,-0.018787124
2001.10.26,0.007633625,0.021224599
2001.10.29,-0.019742618,-0.032146926
2001.10.30,-0.017305516,-0.024894521
2001.10.31,-0.006208279,0.007105482
2001.11.1,0.019560981,0.017279095
2001.11.2,0.006181687,-0.012585982
2001.11.5,0.014246816,0.035625249
2001.11.6,0.01449366,-0.012656286
2001.11.7,-0.002774423,0.030393502
2001.11.8,0.002416866,0.028887884
2001.11.9,0.002412978,-0.016310023
2001.11.12,0.005020181,-0.017936373
2001.11.13,0.018428802,0.02485055
2001.11.14,-0.004459024,0.000563393
2001.11.15,0.000875887,0.009178426
2001.11.16,-0.003068966,0.009343006
2001.11.19,0.00627453,0.022126863
2001.11.20,-0.005498116,-0.017700885
2001.11.21,-0.002810471,-0.000876355
2001.11.23,0.011629563,0.003751956
2001.11.26,0.006153332,-0.008894416
2001.11.27,-0.002259299,-0.011388447
2001.11.28,-0.012854553,-0.023163565
2001.11.29,0.008101488,0.007752702
2001.11.30,-0.000438693,0.007182172
2001.12.3,-0.008460436,0.000372932
2001.12.4,0.009037924,0.004990503
2001.12.5,0.016281533,0.047209826
2001.12.6,-0.000856458,0.002435004
2001.12.7,-0.003619446,-0.014919794
2001.12.10,-0.010906185,-0.014694382
2001.12.11,-0.002723241,0.004824646
2001.12.12,-0.001932877,-0.017004035
2001.12.13,-0.007298653,-0.017529531
2001.12.14,0.004640794,-0.009665084
2001.12.17,0.010011158,0.03087026
2001.12.18,0.007465015,-0.004395403
2001.12.19,0.011636686,-0.010246858
2001.12.20,-0.007864424,-0.011441869
2001.12.21,0.004376758,0.017885601
2001.12.27,0.006676808,0.016603337
2001.12.28,0.003364828,0.009713503
2002.1.2,0.004948571,0.002444994
2002.1.3,0.008445414,0.018211268
2002.1.4,0.001194743,0.005113895
2002.1.7,-0.008377549,-0.018027652
2002.1.8,-0.003955293,0.004812598
2002.1.9,-0.007503593,0.011416589
