³¯Â¥,S&P 500,CAC
2002.1.15,0.004722352,0.013393057
2002.1.16,-0.010234781,-0.013045619
2002.1.17,0.002813683,0.00673857
2002.1.18,8.87E-05,0.002029084
2002.1.22,-0.014193443,0.00202452
2002.1.23,0.005332398,0.009727483
2002.1.24,-0.001059322,0.006466741
2002.1.25,0.003535759,-0.006459539
2002.1.28,-0.002820131,0.008197675
2002.1.29,-0.029719337,-0.017774296
2002.1.30,0.012106029,-0.007256268
2002.1.31,0.01103214,-0.000449135
2002.2.1,-0.004623052,-0.006724975
2002.2.4,-0.021335107,-0.013805809
2002.2.5,0.001193372,-0.01225024
2002.2.6,-0.007356355,-0.007938403
2002.2.7,-0.002865729,0.010302128
2002.2.8,0.012668856,0.004442893
2002.2.11,0.01495067,0.004614683
2002.2.12,0.001174504,-0.012654028
2002.2.13,0.009883279,0.003916604
2002.2.14,-0.00178971,0.008406275
2002.2.15,-0.011256817,-0.007769692
2002.2.19,-0.017296244,-0.016119961
2002.2.20,0.012186892,-0.004245289
2002.2.21,-0.012228351,-0.003965945
2002.2.22,0.010701209,-0.003536488
2002.2.25,0.016907957,0.001864368
2002.2.26,-0.00081092,-0.00184587
2002.2.27,-0.001170591,0.012312057
2002.2.28,-0.003697862,0.013581015
2002.3.1,0.020621128,0.011238599
2002.3.4,0.020047067,0.011603852
2002.3.5,-0.006002367,-0.007413902
2002.3.6,0.014640535,0.005475865
2002.3.7,-0.006201036,-0.008000908
2002.3.8,0.002752216,0.004343112
2002.3.11,0.003687351,-0.005450793
2002.3.12,-0.002313725,-0.005930825
2002.3.13,-0.007682054,-0.008600781
2002.3.14,-0.001040222,0.00552793
2002.3.15,0.010949801,0.00592822
2002.3.18,-0.00060042,0.002604168
2002.3.19,0.004109947,0.005408342
2002.3.20,-0.015848738,-0.007378506
2002.3.21,0.001822047,-0.000218938
2002.3.22,-0.00399653,-0.010834342
2002.3.25,-0.015255425,-0.002836881
2002.3.26,0.006079046,0.011986631
2002.3.27,0.006222359,-0.003896952
2002.3.28,0.000959149,0.010978476
2002.4.2,-0.005439087,-0.012959145
2002.4.3,-0.010694344,0.001299827
2002.4.4,0.001154888,-0.013608638
2002.4.5,-0.004443662,-0.007303341
2002.4.8,0.002313168,-0.018390292
2002.4.9,-0.006864914,-0.002019976
2002.4.10,0.010135222,0.018353246
2002.4.11,-0.023991841,-0.02186611
2002.4.12,0.006592339,0.004722824
2002.4.15,-0.007680182,-0.000222891
2002.4.16,0.023220372,0.016031967
2002.4.17,-0.002040364,-0.0080409
2002.4.18,-0.001421843,-0.001092299
2002.4.19,0.000622305,0.001525553
2002.4.22,-0.015584731,-0.005921719
2002.4.23,-0.006157209,0.000659558
2002.4.24,-0.007201161,-0.007282389
2002.4.25,-0.001464799,-0.010286316
2002.4.26,-0.014023664,-0.003365118
2002.4.29,-0.010085061,0
2002.4.30,0.010642371,0.011743586
2002.5.2,-0.001750265,-0.011248713
2002.5.3,-0.010380075,-0.013003491
2002.5.6,-0.019472888,0.00114482
2002.5.7,-0.003044432,-0.005334583
2002.5.8,0.036762312,0.011864159
2002.5.9,-0.014617709,-0.007494074
2002.5.10,-0.016917697,-0.011021926
2002.5.13,0.018407732,0.017027563
2002.5.14,0.020904118,0.01603286
2002.5.15,-0.005666255,-0.002672012
2002.5.16,0.006486114,0.00357223
2002.5.17,0.007619776,-0.007796008
2002.5.20,-0.013372953,-0.013669681
2002.5.21,-0.011050854,-0.000677277
2002.5.22,0.005632777,-0.008671894
2002.5.23,0.010169113,-0.001827319
2002.5.24,-0.012196951,-0.006376701
2002.5.28,-0.008617947,-0.010240162
2002.5.29,-0.006348635,0.002060204
2002.5.30,-0.002813733,-0.014342138
2002.5.31,0.002251619,0.000928505
2002.6.3,-0.025051125,-0.006309169
2002.6.4,0,-0.022121604
2002.6.5,0.008801358,-0.006758413
2002.6.6,-0.01991312,0.000482509
2002.6.7,-0.001653134,-0.002947681
2002.6.10,0.003109516,-0.005138883
2002.6.11,-0.016729833,0.020619287
2002.6.12,0.006588352,-0.010550951
2002.6.13,-0.010542489,-0.02269461
2002.6.14,-0.002280729,-0.019536331
2002.6.17,0.028286691,0.031756638
2002.6.18,0.000868181,-0.005896823
2002.6.19,-0.016625729,0.002509412
2002.6.20,-0.013522389,-0.020887158
2002.6.21,-0.017240078,-0.001561281
2002.6.24,0.003633065,-0.035849912
2002.6.25,-0.016863463,0.007352974
2002.6.26,-0.002667215,0.027243762
2002.6.27,0.017412995,-0.006053447
2002.6.28,-0.000807918,0.009399282
2002.7.1,-0.021651173,0.000253133
2002.7.2,-0.021391748,-0.02651572
2002.7.3,0.00620369,-0.030648635
2002.7.5,0.023737558,0.033884012
2002.7.8,-0.01220768,0.003067487
2002.7.9,-0.025081634,-0.00642428
2002.7.10,-0.034488017,-0.024974731
2002.7.11,0.007467971,-0.016639319
2002.7.12,-0.006490719,-0.023997842
2002.7.15,-0.0038058,-0.05602499
