³¯Â¥,S&P 500,KOSPI
2000.8.3,0.009615126,-0.017040445
2000.8.4,0.007065713,-0.01000611
2000.8.7,0.011148236,-0.026164857
2000.8.8,0.002363189,-0.015108683
2000.8.9,-0.006698946,0.047592678
2000.8.10,-0.008659834,0.026356252
2000.8.11,0.007912729,0.015052983
2000.8.14,0.013363228,-0.011255882
2000.8.16,-0.003103707,0.003213615
2000.8.17,0.010954779,-0.010569509
2000.8.18,-0.002945313,-0.026194442
2000.8.21,0.00521531,0.002161264
2000.8.22,-0.000934081,0.02144381
2000.8.23,0.005259491,-0.026392544
2000.8.24,0.001526059,-0.005216872
2000.8.25,-0.001194109,0.015076079
2000.8.28,0.004700283,0.004011808
2000.8.29,-0.002844011,-0.002948244
2000.8.30,-0.004780251,-0.010653412
2000.8.31,0.00999909,-0.035366695
2000.9.1,0.002040481,0.001821968
2000.9.5,-0.009049238,0.002210793
2000.9.6,-0.009935733,-0.001270085
2000.9.7,0.006878846,-0.010186073
2000.9.8,-0.005338685,-0.00728584
2000.9.14,-0.002697419,0.020889137
2000.9.15,-0.010248843,-0.021885468
2000.9.18,-0.014637928,-0.024660517
2000.9.19,0.010604699,0.010985059
2000.9.20,-0.005908234,0.019594096
2000.9.21,-0.001586043,-0.012538722
2000.9.22,-0.000207061,-0.037272277
2000.9.25,-0.006718175,0.038072612
2000.9.26,-0.008233945,0.018290837
2000.9.27,-0.000420492,0.02148698
2000.9.28,0.021977383,-0.001237165
2000.9.29,-0.015061774,0.001811757
2000.10.2,-0.000208863,-0.010903982
2000.10.4,0.005453034,0.034079046
2000.10.5,0.001393437,0.001616362
2000.10.6,-0.01919013,0.012029028
2000.10.9,-0.004980444,-0.029483988
2000.10.10,-0.010756647,-0.000645677
2000.10.11,-0.016281796,-0.03398291
2000.10.12,-0.02583279,-0.025353341
2000.10.13,0.032843189,0.018818742
2000.10.16,0.000291036,-0.012662627
2000.10.17,-0.018058187,-0.044523821
2000.10.18,-0.005869041,0.025768224
2000.10.19,0.034204514,0.009461362
2000.10.20,0.005815431,0.009736423
2000.10.23,-0.000787768,-0.049369496
2000.10.24,0.001646444,0.032994106
2000.10.25,-0.024033006,0.004435171
2000.10.26,-0.000366394,-0.008745802
2000.10.27,0.011078831,-0.025386207
2000.10.30,0.013749632,-0.019793692
2000.10.31,0.021711542,0.033380237
2000.11.1,-0.005753191,0.044853575
2000.11.2,0.004983341,0.025699211
2000.11.3,-0.001120841,-0.005498675
2000.11.6,0.002376792,-0.001758952
2000.11.7,-0.00020949,-0.012927732
2000.11.8,-0.015909106,0.016039358
2000.11.9,-0.006549465,0.020215083
2000.11.10,-0.024656901,0.012892835
2000.11.13,-0.010819669,-0.024740583
2000.11.14,0.023187961,0.017255015
2000.11.15,0.004904799,-0.015891569
